username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;
SenatorKirk;2016-09-16 17:16;6;20;Congrats to the @Cubs on clinching the NL Central - October here we come! #cubs #believe pic.twitter.com/6MdfmVLFtD;;@Cubs;#cubs #believe;7.76802E+17;https://twitter.com/SenatorKirk/status/776801841556365312;
namirph;2016-09-16 16:33;0;1;@SenatorKirk @SenatorDurbin IL ranks #3 in worst funded #mentalhealth system. Here's story re two of your finest: … http://www.gur uweb.us.stopcashocracyviaadvocacy.com/2016/09/twitte rs-inspirational-thoughts-tell.html …;;@SenatorKirk @SenatorDurbin;#3 #mentalhealth;7.76791E+17;https://twitter.com/namirph/status/776791126548189184;
SenatorKirk;2016-09-16 16:25;5;13;Senate passed clean water legislation which includes my bill to protect and restore the ecosystem of the #GreatLakes http:// bit.ly/2cd5mHm;;;#GreatLakes;7.76789E+17;https://twitter.com/SenatorKirk/status/776789158656442368;
AlzILAdvocacy;2016-09-16 16:10;0;0;@SenatorKirk TY 4 supporting #PCHETA which will help improve the lives of those w/ #Alzheimers #ENDALZ #AlzIllinois https:// twitter.com/ALZIMPACT/stat us/776444988582486016 …;;@SenatorKirk;#PCHETA #Alzheimers #ENDALZ #AlzIllinois;7.76785E+17;https://twitter.com/AlzILAdvocacy/status/776785370138619904;
rpj66;2016-09-16 14:25;0;0;. @SenatorKirk Our neighbors can’t afford places to live & need help. #MakeRoom on your agenda: http:// bit.ly/2bwb5pq;;@SenatorKirk;#MakeRoom;7.76759E+17;https://twitter.com/rpj66/status/776758859893465088;
dskrampe;2016-09-16 13:15;0;0;"@SenatorKirk Duckworth is Evil and you are a Dick!"" go to Mexico if you want the ""latino"" vote so stinking bad! not voting for either fool""";;@SenatorKirk;;7.76741E+17;https://twitter.com/dskrampe/status/776741352889516032;
jane_lavoie;2016-09-16 11:21;0;0;@Janiemania @SenatorDurbin @SenatorKirk well said Wednesday think her confirmation fabulous news.;;@Janiemania @SenatorDurbin @SenatorKirk;;7.76713E+17;https://twitter.com/jane_lavoie/status/776712503497625600;
RandallFlagg36;2016-09-16 07:24;0;0;"@SenatorKirk When will impeachment start for Obama pay 2 play"" ambassadorships? We need to stop DAPL and TPP #Guccifer2 #DNCleak #NoDAPL""";;@SenatorKirk;#Guccifer2 #DNCleak #NoDAPL;7.76653E+17;https://twitter.com/RandallFlagg36/status/776653007530385408;
marmsgmsw;2016-09-16 05:10;1;2;But now we need your help Senator to ask Chairman Alexander to take committee action on S2748 by the end of this year Please! @senatorkirk;;@senatorkirk;;7.76619E+17;https://twitter.com/marmsgmsw/status/776619273451999232;
marmsgmsw;2016-09-16 05:07;0;0;Thank you Senator Kirk for co sponsoring S. 2748! @senatorkirk @cancerlobbyday;;@senatorkirk @cancerlobbyday;;7.76618E+17;https://twitter.com/marmsgmsw/status/776618454652641280;
A3Rusmisell;2016-09-16 04:08;5;2;Thank you to @SenatorKirk 's Office for meeting with the #EssureProblems Group and our allies about #ArielGracesLaw #Essure #PMA;;@SenatorKirk;#EssureProblems #ArielGracesLaw #Essure #PMA;7.76604E+17;https://twitter.com/A3Rusmisell/status/776603684616548352;
MaryPatriotNews;2016-09-16 04:00;0;0;http:// goo.gl/zH5LOd 11x's LEFT HAS PUSHED #ANTIGAY #HOAXES ! @SenatorBaldwin @SenJeffMerkley @SenatorLeahy @PattyMurray @SenatorKirk @WSJ;;@SenatorBaldwin @SenJeffMerkley @SenatorLeahy @PattyMurray @SenatorKirk @WSJ;#ANTIGAY #HOAXES;7.76602E+17;https://twitter.com/MaryPatriotNews/status/776601680582414336;
Chad_59;2016-09-16 03:47;1;0;@SenatorKirk Another generation of parentless children destroying America. #DontDraftOurDaughters #PJNET http:// PatriotJournalist.com/DontDraftOurDa ughtersPix.php?GUID=57daad26990640.43935362_98 …;;@SenatorKirk;#DontDraftOurDaughters #PJNET;7.76598E+17;https://twitter.com/Chad_59/status/776598302498304000;
